individual plan,individual plan text,income expenditure,income expenditure text,chapter,chapter text,title,function,title text,flex,page,target
1,Bundespräsident und Bundespräsidialamt,e,Übrige Einnahmen,1,Bundespräsident,23201,187,Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen,nein,6,0
1,Bundespräsident und Bundespräsidialamt,e,Übrige Einnahmen,1,Bundespräsident,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,nein,6,0
1,Bundespräsident und Bundespräsidialamt,e,Übrige Einnahmen,11,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen",nein,10,0
1,Bundespräsident und Bundespräsidialamt,e,Übrige Einnahmen,11,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,nein,10,0
1,Bundespräsident und Bundespräsidialamt,e,Verwaltungseinnahmen,12,Bundespräsidialamt,11999,11,Vermischte Einnahmen,nein,14,2
1,Bundespräsident und Bundespräsidialamt,e,Verwaltungseinnahmen,12,Bundespräsidialamt,12401,11,"Einnahmen aus Vermietung, Verpachtung und Nutzung",nein,14,0
1,Bundespräsident und Bundespräsidialamt,e,Verwaltungseinnahmen,12,Bundespräsidialamt,13201,11,Erlöse aus der Veräußerung von beweglichen Sachen,nein,14,1
1,Bundespräsident und Bundespräsidialamt,e,Übrige Einnahmen,12,Bundespräsidialamt,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,nein,14,0
1,Bundespräsident und Bundespräsidialamt,e,Verwaltungseinnahmen,13,Büro der Gemeinsamen Wissenschaftskonferenz,11999,11,Vermischte Einnahmen,nein,18,0
1,Bundespräsident und Bundespräsidialamt,e,Verwaltungseinnahmen,13,Büro der Gemeinsamen Wissenschaftskonferenz,13201,11,Erlöse aus der Veräußerung von beweglichen Sachen,nein,18,0
1,Bundespräsident und Bundespräsidialamt,e,Übrige Einnahmen,13,Büro der Gemeinsamen Wissenschaftskonferenz,28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen",nein,18,0
1,Bundespräsident und Bundespräsidialamt,e,Übrige Einnahmen,13,Büro der Gemeinsamen Wissenschaftskonferenz,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,nein,18,0
2,Deutscher Bundestag,e,Übrige Einnahmen,11,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen",nein,6,0
2,Deutscher Bundestag,e,Übrige Einnahmen,11,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,38101,890,Leistungen von Bundesbehörden zur Durchführung von Aufträgen,nein,6,0
2,Deutscher Bundestag,e,Übrige Einnahmen,11,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,nein,6,0
2,Deutscher Bundestag,e,Verwaltungseinnahmen,12,Deutscher Bundestag,11101,11,"Gebühren, sonstige Entgelte",nein,12,382
2,Deutscher Bundestag,e,Verwaltungseinnahmen,12,Deutscher Bundestag,11901,11,Einnahmen aus Veröffentlichungen,nein,12,0
2,Deutscher Bundestag,e,Verwaltungseinnahmen,12,Deutscher Bundestag,11999,11,Vermischte Einnahmen,nein,12,206
